Arquivo,Tela,ID,Nome,Descrição,Pré-condições,Resultado na tela,Como testar
02-FILMES.md,"página **Filmes** do site (listagem completa de filmes, acessível pelo menu ou pelo título da faixa Filmes na página inicial).",RN-FILMES-030,Grade responsiva,Cards em colunas que aumentam em telas maiores.,Resultados > 0; não loading.,2 a 5 colunas; cards com largura máxima ~210px.,Redimensionar janela do navegador.
02-FILMES.md,"página **Filmes** do site (listagem completa de filmes, acessível pelo menu ou pelo título da faixa Filmes na página inicial).",RN-FILMES-031,Nenhum resultado,Combinação de filtros sem match.,Filtros restritivos.,"Ícone de filtro, título **Nenhum filme encontrado**, sugestão de ajustar filtros.",Aplicar filtro impossível.
02-FILMES.md,"página **Filmes** do site (listagem completa de filmes, acessível pelo menu ou pelo título da faixa Filmes na página inicial).",RN-FILMES-032,Falha ao recarregar no cliente,"Erro ao buscar de novo pode esvaziar a grade ou manter último estado, sem quebrar a página.",Rede cortada ao mudar filtro.,Página continua; grade pode zerar; sem crash.,Desligar rede ao trocar filtro.
02-FILMES.md,"página **Filmes** do site (listagem completa de filmes, acessível pelo menu ou pelo título da faixa Filmes na página inicial).",RN-FILMES-033,Limite inicial de cards na tela,"A grade mostra um lote inicial de filmes (dezenas), não o catálogo inteiro de uma vez.",Filtro amplo com centenas de títulos.,Até ~48 cards visíveis na grade por vez (sem botão “carregar mais” nesta página).,Contar cards com filtro **Todos**.
02-FILMES.md,"página **Filmes** do site (listagem completa de filmes, acessível pelo menu ou pelo título da faixa Filmes na página inicial).",RN-FILMES-034,Cards com informação de streaming,"Quando o filme tem plataformas cadastradas, o card pode exibir ícones/nomes de streaming.",Filme com Netflix/Disney+ etc.,Ícones ou pills de plataforma no card.,Inspecionar card de filme em streaming.
02-FILMES.md,"página **Filmes** do site (listagem completa de filmes, acessível pelo menu ou pelo título da faixa Filmes na página inicial).",RN-FILMES-035,Saga e coleção no card,Filmes parte de saga podem mostrar indício de continuação no card.,Filme com saga cadastrada.,Atalho de saga visível no card (detalhe em modais).,Card de filme conhecido em saga.
02-FILMES.md,"página **Filmes** do site (listagem completa de filmes, acessível pelo menu ou pelo título da faixa Filmes na página inicial).",RN-FILMES-036,Curadoria de exibição padrão,"A listagem pública prioriza filmes “apresentáveis”: com pôster, sinopse e relevância mínima, salvo exceções de cartaz/em breve.",Filme incompleto no catálogo vs filme em cartaz.,Título sem pôster tende a **não** aparecer; em cartaz pode aparecer mesmo com pouca popularidade.,Comparar filme rascunho vs filme em cartaz.
02-FILMES.md,"página **Filmes** do site (listagem completa de filmes, acessível pelo menu ou pelo título da faixa Filmes na página inicial).",RN-FILMES-037,Sem pôster,Filmes sem imagem de pôster não entram na grade padrão.,Filme de teste sem pôster.,Ausente em Filmes com filtros abertos.,Buscar título sem pôster na busca global.
02-FILMES.md,"página **Filmes** do site (listagem completa de filmes, acessível pelo menu ou pelo título da faixa Filmes na página inicial).",RN-FILMES-038,Sem sinopse,"Filmes sem texto de sinopse tendem a ficar de fora, exceto flags de cartaz/em breve.",Filme sem overview.,Ausente na listagem geral.,Validar com dado de teste.
02-FILMES.md,"página **Filmes** do site (listagem completa de filmes, acessível pelo menu ou pelo título da faixa Filmes na página inicial).",RN-FILMES-039,Conteúdo adulto explícito,Filmes marcados como adultos não aparecem na listagem pública.,Filme adulto no catálogo.,Ausente em Filmes.,Buscar título adulto.
02-FILMES.md,"página **Filmes** do site (listagem completa de filmes, acessível pelo menu ou pelo título da faixa Filmes na página inicial).",RN-FILMES-040,Exceção em cartaz ou em breve,Filmes em cartaz ou em breve podem aparecer mesmo com popularidade baixa.,Filme em cartaz com poucos votos.,Presente ao usar atalho **Em Cartaz** ou **Em Breve**.,Testar título em cartaz marginal.
02-FILMES.md,"página **Filmes** do site (listagem completa de filmes, acessível pelo menu ou pelo título da faixa Filmes na página inicial).",RN-FILMES-041,Nota mínima com muitos votos,Filmes com muitas avaliações e nota muito baixa tendem a ser ocultados.,"Filme nota ~5,5 com centenas de votos.",Ausente na listagem geral.,Comparar com filme bem avaliado.
02-FILMES.md,"página **Filmes** do site (listagem completa de filmes, acessível pelo menu ou pelo título da faixa Filmes na página inicial).",RN-FILMES-042,Ano corrente ou futuro mais permissivo,Filtrar pelo **ano atual** (ou futuro) pode incluir estreias ainda sem muita popularidade.,Ano = ano corrente no select.,Estreia futura do ano aparece na grade.,Filtrar ano corrente; procurar estreia futura.
02-FILMES.md,"página **Filmes** do site (listagem completa de filmes, acessível pelo menu ou pelo título da faixa Filmes na página inicial).",RN-FILMES-043,Filtro por ano civil,Ano escolhido limita a estreias daquele ano calendário.,Ano 2020 selecionado.,Só filmes com data de estreia em 2020.,Filtrar 2020 e abrir detalhes de cards.
02-FILMES.md,"página **Filmes** do site (listagem completa de filmes, acessível pelo menu ou pelo título da faixa Filmes na página inicial).",RN-FILMES-044,Filtro por mês,Mês escolhido limita estreias daquele mês (com ano definido ou ano corrente).,Março + ano 2025.,Só estreias de março/2025.,Combinar mês e ano.
02-FILMES.md,"página **Filmes** do site (listagem completa de filmes, acessível pelo menu ou pelo título da faixa Filmes na página inicial).",RN-FILMES-045,Mês sem ano usa ano atual,Só mês selecionado assume o ano de “hoje”.,Mês = mês atual; ano = todos.,Estreias daquele mês no ano corrente.,"Em setembro, filtrar setembro com todos os anos."
02-FILMES.md,"página **Filmes** do site (listagem completa de filmes, acessível pelo menu ou pelo título da faixa Filmes na página inicial).",RN-FILMES-046,Filtro por gênero,Gênero escolhido exige correspondência exata no cadastro do filme.,Gênero Action.,Só filmes daquele gênero.,Filtrar um gênero raro e validar cards.
02-FILMES.md,"página **Filmes** do site (listagem completa de filmes, acessível pelo menu ou pelo título da faixa Filmes na página inicial).",RN-FILMES-047,Filtro por status,"Status escolhido restringe ao estado cadastral (ex.: lançado, cancelado).",Status específico.,Grade coerente com status nos detalhes.,Filtrar status e conferir detalhe.
02-FILMES.md,"página **Filmes** do site (listagem completa de filmes, acessível pelo menu ou pelo título da faixa Filmes na página inicial).",RN-FILMES-048,Só já lançados (catálogo),Regra interna de “lançados”: data de estreia no passado.,Filme futuro vs passado.,Filme futuro não entra em conjuntos que exigem “já lançado” (ex.: comparar com atalho **Em Breve**).,"Estreia futura só em **Em Breve**, não como lançado antigo."
02-FILMES.md,"página **Filmes** do site (listagem completa de filmes, acessível pelo menu ou pelo título da faixa Filmes na página inicial).",RN-FILMES-049,Só futuros (catálogo),Regra interna de “futuros”: estreia hoje ou depois.,Filme passado e futuro.,**Em Breve** alinhado a futuros curados.,Comparar atalhos **Todos** vs **Em Breve**.
02-FILMES.md,"página **Filmes** do site (listagem completa de filmes, acessível pelo menu ou pelo título da faixa Filmes na página inicial).",RN-FILMES-050,Disponibilidade cinema (catálogo),Subconjunto usado em outras áreas para “no cinema”.,Filme só streaming vs em cartaz.,**Em Cartaz** e gaveta **Em cartaz** concentram títulos de cinema.,Validar filme em cartaz nos atalhos/gaveta.
02-FILMES.md,"página **Filmes** do site (listagem completa de filmes, acessível pelo menu ou pelo título da faixa Filmes na página inicial).",RN-FILMES-051,Disponibilidade streaming (catálogo),Subconjunto de títulos com streaming cadastrado.,Filme com plataforma.,Aparece ao filtrar plataforma; etiqueta **No streaming** no card quando aplicável.,Filtrar plataforma + ler etiqueta do card.
02-FILMES.md,"página **Filmes** do site (listagem completa de filmes, acessível pelo menu ou pelo título da faixa Filmes na página inicial).",RN-FILMES-052,Ordem alfabética em “Todos”,"Sem atalho **Populares**, ordem por título.",**Todos os Filmes** ativo.,Primeiros cards em ordem A–Z por título.,Ler primeiros títulos da grade.
02-FILMES.md,"página **Filmes** do site (listagem completa de filmes, acessível pelo menu ou pelo título da faixa Filmes na página inicial).",RN-FILMES-053,Listagem mais ampla que a home,A página Filmes pode mostrar títulos que a faixa Filmes da inicial não mostra.,Concerto/gravação ao vivo cadastrada.,Pode aparecer em Filmes e **não** no carrossel da home.,Comparar mesmo título home vs Filmes.
02-FILMES.md,"página **Filmes** do site (listagem completa de filmes, acessível pelo menu ou pelo título da faixa Filmes na página inicial).",RN-FILMES-054,Opções de filtro só com filmes,Gêneros/plataformas no menu existem porque há pelo menos um filme associado.,Gênero órfão no cadastro interno.,Gênero sem filme **não** aparece no select.,Abrir todos os gêneros e buscar um raro inexistente.
02-FILMES.md,"página **Filmes** do site (listagem completa de filmes, acessível pelo menu ou pelo título da faixa Filmes na página inicial).",RN-FILMES-055,Anos sem duplicata,Cada ano aparece uma vez no filtro de ano.,Vários filmes no mesmo ano.,Ano único no dropdown.,Abrir filtro de ano.
02-FILMES.md,"página **Filmes** do site (listagem completa de filmes, acessível pelo menu ou pelo título da faixa Filmes na página inicial).",RN-FILMES-056,Janela temporal da home,Carrossel da inicial foca lançamentos em janela de anos próximos; Filmes lista histórico amplo.,Filme muito antigo fora da janela da home.,Presente em Filmes com filtros; pode faltar na home.,Filme clássico: Filmes vs home.
02-FILMES.md,"página **Filmes** do site (listagem completa de filmes, acessível pelo menu ou pelo título da faixa Filmes na página inicial).",RN-FILMES-057,Concertos na listagem,"Shows, stand-up e concertos ao vivo podem aparecer aqui.",Título tipo “Live from…”.,Card visível em Filmes; pode faltar no carrossel da home.,Buscar concerto na página Filmes.
02-FILMES.md,"página **Filmes** do site (listagem completa de filmes, acessível pelo menu ou pelo título da faixa Filmes na página inicial).",RN-FILMES-058,Curta-metragem futuro na home,Estreias futuras muito curtas podem ser excluídas do carrossel inicial.,Curta com duração conhecida e estreia futura.,Pode aparecer em Filmes filtrando ano/mês; pode faltar na home.,Comparar home vs Filmes.
02-FILMES.md,"página **Filmes** do site (listagem completa de filmes, acessível pelo menu ou pelo título da faixa Filmes na página inicial).",RN-FILMES-059,Duração mínima só na home,Regra de “filme de estreia” longo para destaque na home não se aplica à listagem Filmes.,Filme futuro curto.,Visível em Filmes se passar curadoria da listagem.,Mesmo título home vs Filmes.
02-FILMES.md,"página **Filmes** do site (listagem completa de filmes, acessível pelo menu ou pelo título da faixa Filmes na página inicial).",RN-FILMES-060,Abrir detalhe pelo card,Clique no card abre painel/modal de detalhe do filme.,Card na grade ou gaveta.,"Modal com sinopse, datas, links.",Clicar poster/título.
02-FILMES.md,"página **Filmes** do site (listagem completa de filmes, acessível pelo menu ou pelo título da faixa Filmes na página inicial).",RN-FILMES-061,Destaques no detalhe,Alguns filmes exibem etiquetas extras (ex.: mais esperado) no detalhe.,Filme elegível a destaque editorial.,Pills no modal além do status normal.,Abrir detalhe de estreia aguardada.
02-FILMES.md,"página **Filmes** do site (listagem completa de filmes, acessível pelo menu ou pelo título da faixa Filmes na página inicial).",RN-FILMES-062,Edição administrativa,Alterações de cadastro feitas por equipe interna não são testadas nesta tela pública.,Conta visitante ou usuário comum.,Comportamento da listagem reflete catálogo já publicado; sem UI de edição aqui.,Confirmar ausência de controles de admin na página Filmes.
02-FILMES.md,"página **Filmes** do site (listagem completa de filmes, acessível pelo menu ou pelo título da faixa Filmes na página inicial).",RN-FILMES-063,Ranking “mais esperados”,"Lista de antecipação de estreias alimenta destaques em outras áreas (ex.: **Em alta** na home), não um bloco dedicado em Filmes.",Estreias próximas no catálogo.,Filmes pode mostrar pills nos cards/detalhe; ranking completo não é seção fixa aqui.,Comparar filme “mais esperado” na home vs Filmes.
02-FILMES.md,"página **Filmes** do site (listagem completa de filmes, acessível pelo menu ou pelo título da faixa Filmes na página inicial).",RN-FILMES-064,Timeline por ano (outras telas),"Navegação mês a mês por carrossel existe na home, não como timeline na página Filmes.",Usuário em Filmes.,"Filmes usa grade + filtros ano/mês, não carrossel temporal contínuo.",Confirmar ausência de carrossel mensal contínuo em Filmes.
02-FILMES.md,"página **Filmes** do site (listagem completa de filmes, acessível pelo menu ou pelo título da faixa Filmes na página inicial).",RN-FILMES-065,Timeline por mês (outras telas),Agrupamento fino por mês no carrossel da home; aqui filtro de mês na grade.,Mês selecionado.,"Grade estática filtrada, não slide por slide de timeline.",Filtrar mês e rolar grade.
02-FILMES.md,"página **Filmes** do site (listagem completa de filmes, acessível pelo menu ou pelo título da faixa Filmes na página inicial).",RN-FILMES-066,Só ano confirmado (outras telas),Blocos “sem data confirmada” aparecem no carrossel da home; em Filmes use filtro de ano e status.,Filme TBA só com ano.,Pode listar com data incompleta nos detalhes; sem separador TBD como na home.,Filme “2027 — data a confirmar” em Filmes vs home.
02-FILMES.md,"página **Filmes** do site (listagem completa de filmes, acessível pelo menu ou pelo título da faixa Filmes na página inicial).",RN-FILMES-067,Contador alinhado ao total filtrado,"Número exibido corresponde ao conjunto filtrado no servidor, não a páginas visuais futuras.",Filtro restritivo.,Contador = quantidade lógica do filtro.,Anotar contador e amostrar busca por título.
02-FILMES.md,"página **Filmes** do site (listagem completa de filmes, acessível pelo menu ou pelo título da faixa Filmes na página inicial).",RN-FILMES-068,Coerência após recarregar,Recarregar a página mantém filtros no estado inicial (não persistem na URL por padrão).,Filtros alterados; F5.,Atalho **Todos** e selects voltam ao padrão; nova carga inicial.,Alterar filtros e recarregar navegador.
09-BUSCA-HEADER.md,"em qualquer página do site com o **cabeçalho** fixo (menu, busca, tema, conta) e/ou com a **busca global** aberta em tela cheia sobre o conteúdo.",RN-HEADER-001,Links principais (desktop),Navegação do catálogo em telas largas.,Janela larga (layout desktop).,"Links visíveis: Filmes, Séries, Animes, Jogos, Continuações, Hoje.",Redimensionar janela; clicar cada link.
09-BUSCA-HEADER.md,"em qualquer página do site com o **cabeçalho** fixo (menu, busca, tema, conta) e/ou com a **busca global** aberta em tela cheia sobre o conteúdo.",RN-HEADER-002,Menu “Mais”,Atalhos secundários.,Desktop.,"Dropdown: Promoções, Eventos, Jogos em Alta, Premiações, Minha Lista (animes), Extensão CR.",Abrir “Mais” e seguir um item.
09-BUSCA-HEADER.md,"em qualquer página do site com o **cabeçalho** fixo (menu, busca, tema, conta) e/ou com a **busca global** aberta em tela cheia sobre o conteúdo.",RN-HEADER-003,Item ativo,Página atual destacada.,Navegar entre seções.,Link da rota atual com estilo primário/negrito; “Mais” destaca se algum sublink está ativo.,Estar em Promoções e olhar o header.
09-BUSCA-HEADER.md,"em qualquer página do site com o **cabeçalho** fixo (menu, busca, tema, conta) e/ou com a **busca global** aberta em tela cheia sobre o conteúdo.",RN-HEADER-004,Abrir busca,Ícone de lupa.,Qualquer página.,Abre overlay; fecha menu mobile se estiver aberto.,Mobile: abrir menu → busca.
09-BUSCA-HEADER.md,"em qualquer página do site com o **cabeçalho** fixo (menu, busca, tema, conta) e/ou com a **busca global** aberta em tela cheia sobre o conteúdo.",RN-HEADER-005,Tema claro/escuro,Alternância visual.,Header visível.,Ícone alterna tema; cores do site mudam.,Clicar sol/lua.
09-BUSCA-HEADER.md,"em qualquer página do site com o **cabeçalho** fixo (menu, busca, tema, conta) e/ou com a **busca global** aberta em tela cheia sobre o conteúdo.",RN-HEADER-006,Notificações,Sino de avisos.,Conta com ou sem notificações.,Abre painel/modal de notificações; badge com contagem (máx. exibição “9+”).,Conta com notificações pendentes.
09-BUSCA-HEADER.md,"em qualquer página do site com o **cabeçalho** fixo (menu, busca, tema, conta) e/ou com a **busca global** aberta em tela cheia sobre o conteúdo.",RN-HEADER-007,Menu do usuário logado,Conta autenticada.,Sessão ativa.,"Opções: Minha lista, Meu perfil, Sair (volta à home após sair).",Logar → menu avatar.
09-BUSCA-HEADER.md,"em qualquer página do site com o **cabeçalho** fixo (menu, busca, tema, conta) e/ou com a **busca global** aberta em tela cheia sobre o conteúdo.",RN-HEADER-008,Visitante (desktop),Sem login em tela média/grande.,Anônimo; layout desktop/tablet largo.,Links Entrar e Inscreva-se visíveis.,Anônimo desktop.
09-BUSCA-HEADER.md,"em qualquer página do site com o **cabeçalho** fixo (menu, busca, tema, conta) e/ou com a **busca global** aberta em tela cheia sobre o conteúdo.",RN-HEADER-009,Menu mobile,Telas estreitas.,Layout mobile.,"Hambúrguer com catálogo, “descobrir” (itens do Mais) e bloco login/lista/perfil.",Testar em viewport mobile.
09-BUSCA-HEADER.md,"em qualquer página do site com o **cabeçalho** fixo (menu, busca, tema, conta) e/ou com a **busca global** aberta em tela cheia sobre o conteúdo.",RN-HEADER-010,Fechar menus,Clique fora.,Dropdown “Mais” ou menu usuário aberto.,Fecha ao clicar fora; overlay escuro fecha menu do usuário.,Abrir dropdown → clicar página.
09-BUSCA-HEADER.md,"em qualquer página do site com o **cabeçalho** fixo (menu, busca, tema, conta) e/ou com a **busca global** aberta em tela cheia sobre o conteúdo.",RN-HEADER-020,Resultado abre detalhe,Card de mídia na busca.,Busca aberta com resultados.,Clicar card abre modal de detalhe e fecha a busca.,Buscar filme → abrir card.
09-BUSCA-HEADER.md,"em qualquer página do site com o **cabeçalho** fixo (menu, busca, tema, conta) e/ou com a **busca global** aberta em tela cheia sobre o conteúdo.",RN-HEADER-021,Retorno da página pessoa,Veio da busca.,Fluxo busca → página pessoa → voltar.,Busca reabre quando o site guardou “voltar para busca”.,Executar RN-BUSCA-021 + voltar do browser ou link voltar.
07-HOJE.md,"página **Hoje** do site (menu principal → Hoje), com panorama editorial do dia: cinema, estreias, streaming e jogos em destaque.",RN-HOJE-001,Conteúdo após abrir a página,Os cards não vêm “prontos” no primeiro instante; a página busca os destaques ao abrir.,Acesso normal à página Hoje.,"Breve estado de carregamento (esqueletos/cards cinza) e, em seguida, faixas preenchidas ou mensagens de vazio/erro.",Abrir Hoje com rede normal; observar transição skeleton → conteúdo.
07-HOJE.md,"página **Hoje** do site (menu principal → Hoje), com panorama editorial do dia: cinema, estreias, streaming e jogos em destaque.",RN-HOJE-002,Data do dia,"A página mostra a data atual em português, junto ao título.",Página carregada com sucesso.,"Linha com ícone de calendário e data por extenso (pt-BR), coerente com o dia de teste.",Comparar data exibida com o relógio do sistema.
07-HOJE.md,"página **Hoje** do site (menu principal → Hoje), com panorama editorial do dia: cinema, estreias, streaming e jogos em destaque.",RN-HOJE-003,Ligar/desligar blocos,O usuário escolhe quais faixas aparecem; a escolha fica salva no navegador.,Mesmo navegador/dispositivo.,"Interruptores ou checkboxes por seção; ao recarregar, as seções desmarcadas continuam ocultas.",Desmarcar “Em cartaz nos cinemas”; F5 → faixa não aparece.
07-HOJE.md,"página **Hoje** do site (menu principal → Hoje), com panorama editorial do dia: cinema, estreias, streaming e jogos em destaque.",RN-HOJE-004,Pelo menos uma seção,Não é possível desativar todas as seções de uma vez.,Resta apenas uma seção marcada.,Tentativa de desmarcar a última é ignorada; continua uma seção ativa.,"Desmarcar cinco seções; na sexta tentativa, a última permanece ligada."
07-HOJE.md,"página **Hoje** do site (menu principal → Hoje), com panorama editorial do dia: cinema, estreias, streaming e jogos em destaque.",RN-HOJE-005,Ordem fixa das faixas,A ordem vertical dos blocos não muda conforme preferências.,Várias seções habilitadas com conteúdo.,"Sempre, de cima para baixo: cinema → estreias da semana → filmes no streaming → séries no streaming → animes em exibição → jogos em destaque (só as habilitadas e com itens).",Habilitar todas; rolar e conferir ordem dos títulos das faixas.
07-HOJE.md,"página **Hoje** do site (menu principal → Hoje), com panorama editorial do dia: cinema, estreias, streaming e jogos em destaque.",RN-HOJE-006,Faixa sem itens some,Seção ligada mas sem títulos para mostrar não ocupa espaço.,Seção habilitada sem destaques naquele dia.,Nenhum título de faixa vazio; bloco inteiro ausente.,Ambiente ou dia em que uma faixa específica vem vazia.
07-HOJE.md,"página **Hoje** do site (menu principal → Hoje), com panorama editorial do dia: cinema, estreias, streaming e jogos em destaque.",RN-HOJE-007,Nada para mostrar,"Todas as faixas visíveis estão vazias, ou o usuário desligou tudo que tinha conteúdo.",Filtros de seção deixam zero cards visíveis.,Mensagem “Nenhum destaque disponível para os filtros selecionados.”,Desmarcar seções que tinham conteúdo até só restarem vazias ou desligar todas as que exibem cards.
07-HOJE.md,"página **Hoje** do site (menu principal → Hoje), com panorama editorial do dia: cinema, estreias, streaming e jogos em destaque.",RN-HOJE-008,Erro ao carregar,Se os destaques não puderem ser obtidos.,Simular falha de rede ou indisponibilidade do serviço.,Mensagem do tipo “Não foi possível carregar o conteúdo de hoje.”,Bloquear rede após abrir a página ou usar ambiente offline.
07-HOJE.md,"página **Hoje** do site (menu principal → Hoje), com panorama editorial do dia: cinema, estreias, streaming e jogos em destaque.",RN-HOJE-009,Esqueletos no carregamento,Enquanto aguarda os dados.,Primeiro acesso ou rede lenta.,Grade com vários placeholders de card (cerca de oito).,Throttle de rede e recarregar Hoje.
07-HOJE.md,"página **Hoje** do site (menu principal → Hoje), com panorama editorial do dia: cinema, estreias, streaming e jogos em destaque.",RN-HOJE-010,Cards iguais ao resto do site,Interações nos cards seguem o mesmo padrão das listagens.,Usuário logado; itens visíveis em uma faixa.,"Favoritar, listas e demais ações do card funcionam como em Filmes/Séries/Animes/Jogos.",Logar; favoritar um filme em “Em cartaz” e conferir em outra tela.
07-HOJE.md,"página **Hoje** do site (menu principal → Hoje), com panorama editorial do dia: cinema, estreias, streaming e jogos em destaque.",RN-HOJE-011,Janela “esta semana”,Destaques de streaming e animes priorizam o que teve lançamento ou episódio nos **últimos 7 dias**.,Títulos com datas conhecidas (estreia ou episódio).,Obra lançada há mais de uma semana tende a não liderar o pool “esta semana”; pode aparecer só se faltar conteúdo recente.,Comparar filme estreando há 8 dias vs filme estreando ontem na faixa de streaming.
07-HOJE.md,"página **Hoje** do site (menu principal → Hoje), com panorama editorial do dia: cinema, estreias, streaming e jogos em destaque.",RN-HOJE-012,Em cartaz nos cinemas,Filmes marcados como em exibição comercial no momento.,Catálogo com filme em cartaz e filme só em streaming.,Até **12** filmes; foco em popularidade entre os em cartaz; obras de baixa qualidade editorial ou mal localizadas tendem a ficar de fora.,Contar cards na faixa cinema; validar que só entram “em cartaz”.
07-HOJE.md,"página **Hoje** do site (menu principal → Hoje), com panorama editorial do dia: cinema, estreias, streaming e jogos em destaque.",RN-HOJE-013,Estreias da semana,Filmes estreando na **semana civil brasileira** corrente.,Filme com estreia BR na semana vs fora da semana.,Até **24** títulos; cards de estreia da semana podem exibir etiqueta de destaque de estreia.,Cruzar com calendário de estreias BR.
07-HOJE.md,"página **Hoje** do site (menu principal → Hoje), com panorama editorial do dia: cinema, estreias, streaming e jogos em destaque.",RN-HOJE-014,Etiquetas em filmes,Alguns filmes ganham destaque visual (estreia da semana ou “mais esperado”).,Filme estreando na semana vs filme futuro aguardado.,Estreia da semana tem prioridade sobre “mais esperado” no mesmo card.,Inspecionar pills nos cards de estreias e estreias futuras.
07-HOJE.md,"página **Hoje** do site (menu principal → Hoje), com panorama editorial do dia: cinema, estreias, streaming e jogos em destaque.",RN-HOJE-015,Filmes no streaming esta semana,"Filmes disponíveis em streaming, não em cartaz, com preferência por lançamentos na última semana.",Pool semanal com menos de 12 títulos.,"Até **12** filmes; se faltarem lançamentos recentes, entram títulos populares em streaming para completar, sem duplicar o mesmo filme.",Dia com poucos lançamentos streaming; ver se lista completa até 12.
07-HOJE.md,"página **Hoje** do site (menu principal → Hoje), com panorama editorial do dia: cinema, estreias, streaming e jogos em destaque.",RN-HOJE-016,Séries no streaming esta semana,"Séries com episódio ou estreia recente na última semana, ou fallback por popularidade.",Série sem episódio na semana mas popular.,Até **12** séries; mescla recentes + fallback.,Série semanal com ep ontem vs série parada há meses.
07-HOJE.md,"página **Hoje** do site (menu principal → Hoje), com panorama editorial do dia: cinema, estreias, streaming e jogos em destaque.",RN-HOJE-017,Animes em exibição (prioridade),Animes **em lançamento** que exibiram episódio na última semana.,Anime em exibição sem ep na semana.,Preferência por quem teve episódio nos últimos 7 dias; ordenação por popularidade e nota.,Anime com ep recente vs anime em hiato.
07-HOJE.md,"página **Hoje** do site (menu principal → Hoje), com panorama editorial do dia: cinema, estreias, streaming e jogos em destaque.",RN-HOJE-018,Animes — completar lista,"Se poucos animes tiveram episódio na semana, a lista completa com outros em exibição ou a estrear.",Poucos episódios recentes no catálogo.,"Até **12** animes no total, sem repetir o mesmo título.",Conferir contagem máxima em dia “fraco” de episódios.
07-HOJE.md,"página **Hoje** do site (menu principal → Hoje), com panorama editorial do dia: cinema, estreias, streaming e jogos em destaque.",RN-HOJE-019,Jogos em destaque,Jogos com maior expectativa ou nota entre os elegíveis.,Catálogo com jogos fracos e fortes.,Até **8** jogos; jogos sem sinal de qualidade tendem a ficar de fora.,Contar faixa; comparar com página Jogos.
07-HOJE.md,"página **Hoje** do site (menu principal → Hoje), com panorama editorial do dia: cinema, estreias, streaming e jogos em destaque.",RN-HOJE-020,Animes mais exigentes que a listagem,Alguns animes marginais aparecem na listagem geral de animes mas não em Hoje.,Anime com nota/popularidade baixa.,Ausente na faixa de animes de Hoje; pode existir na página Animes do menu.,Mesmo título em Animes vs Hoje.
07-HOJE.md,"página **Hoje** do site (menu principal → Hoje), com panorama editorial do dia: cinema, estreias, streaming e jogos em destaque.",RN-HOJE-021,Textos de sinopse,Sinopses exibidas são as já cadastradas no catálogo (sem tradução instantânea na hora da visita).,Abrir detalhe do mesmo título em Hoje e em Filmes.,Mesmo texto de sinopse para a mesma obra.,Abrir modal do filme em Hoje e na listagem Filmes.
07-HOJE.md,"página **Hoje** do site (menu principal → Hoje), com panorama editorial do dia: cinema, estreias, streaming e jogos em destaque.",RN-HOJE-022,Atualização dos destaques,O conjunto de títulos do dia não muda a cada segundo.,Duas visitas no mesmo dia.,Listas podem permanecer estáveis por várias horas até o site atualizar o pacote de “hoje”.,Comparar Hoje de manhã e tarde (mesmo dia).
07-HOJE.md,"página **Hoje** do site (menu principal → Hoje), com panorama editorial do dia: cinema, estreias, streaming e jogos em destaque.",RN-HOJE-023,Falha grave no servidor,Erro interno ao montar os destaques.,Serviço indisponível.,Mesma mensagem de erro de RN-HOJE-008; usuário não vê faixas parciais “quebradas”.,Ambiente de teste com serviço fora.
07-HOJE.md,"página **Hoje** do site (menu principal → Hoje), com panorama editorial do dia: cinema, estreias, streaming e jogos em destaque.",RN-HOJE-024,Seções batem com a tela,Cada faixa visível corresponde a um bloco de destaques (data do dia + listas por tema).,Página carregada com sucesso.,"Seis tipos possíveis: data, estreias da semana, cinema, três faixas streaming (filmes/séries/animes), jogos — conforme preferências e conteúdo.",Conferir títulos das faixas com a tabela abaixo.
01-HOME.md,página inicial do site (primeira tela após abrir o endereço principal).,RN-HOME-001,Ordem das seções,A página segue uma ordem fixa de blocos de cima para baixo.,Página inicial carregada com sucesso.,Do topo para baixo: mensagem de boas-vindas → (opcional) Continuar assistindo → Filmes → Séries → Animes → Jogos.,Abrir a página inicial e rolar devagar; conferir a ordem.
01-HOME.md,página inicial do site (primeira tela após abrir o endereço principal).,RN-HOME-002,Título da faixa leva à listagem,"O nome de cada faixa (Filmes, Séries, etc.) funciona como atalho.",Página inicial visível.,"Ao clicar no título “Filmes”, o usuário vai para a página de listagem de filmes; o mesmo padrão para Séries, Animes e Jogos.",Clicar em cada título de faixa e verificar a página de destino.
01-HOME.md,página inicial do site (primeira tela após abrir o endereço principal).,RN-HOME-003,Página não “quebra” sem conteúdo,"Se no primeiro momento não houver títulos para mostrar, a estrutura da página continua aparecendo.",Simular rede lenta ou catálogo vazio no primeiro carregamento.,Não aparece tela de erro do navegador; faixas e controles continuam; carrosséis podem mostrar placeholders e depois preencher ao rolar.,Throttle de rede ou ambiente de teste vazio; abrir a página inicial.
01-HOME.md,página inicial do site (primeira tela após abrir o endereço principal).,RN-HOME-004,Carregamento tardio das faixas,Filmes e jogos podem começar a buscar mais títulos quando o usuário se aproxima da faixa; séries e animes quando a própria faixa entra na área visível.,Usuário abre a página e fica só no topo (boas-vindas).,"Ao rolar até Filmes/Jogos/Séries/Animes, novos cards ou animação de carregamento podem aparecer; não é obrigatório tudo carregar antes de rolar.","Abrir a página, não rolar: observar rede/atividade; rolar até cada faixa."
